Temperature (°C),Weight (Kg),On/off
15.75,8.000525135,
15.75,7.994096068,
15.812,8.002424155,
15.812,8.004113562,
15.812,8.012046848,
15.875,8.001815635,
15.875,8.006333134,
15.937,8.012084554,
15.937,8.014066469,
15.937,8.007327237,
16,8.018091214,
15.937,8.018027001,
16,8.022905061,
16,8.008285853,
16,7.996660497,
16,7.995014742,
16,7.998638535,
15.937,8.013035439,
16,8.016631619,
16,8.044461593,
15.937,8.018305933,
15.937,8.02130603,
15.937,8.014192844,
15.937,8.017089729,
15.937,8.0170463,
15.937,8.023142028,
15.937,8.029126553,
15.937,8.023934561,
15.937,8.017960987,
15.937,8.009564675,
15.937,8.008994987,
15.937,8.008959517,
15.937,8.006071365,
15.937,8.01240329,
15.937,7.997109337,
15.875,7.995132876,
15.937,8.027187265,
15.875,8.02727692,
15.937,8.025303721,
15.875,8.02116128,
15.875,8.025354921,
15.875,8.027754602,
15.875,8.032757019,
15.875,8.027759993,
15.875,8.037845899,
15.875,8.026292915,
15.875,8.007872269,
15.875,8.025692296,
15.875,8.02555002,
15.875,8.022514103,
15.875,8.02115445,
15.875,8.023310317,
15.812,8.020047077,
15.812,8.013524478,
15.812,8.00622393,
15.812,8.006265036,
15.812,8.010598876,
15.812,8.022132442,
15.812,8.018269231,
15.812,8.024268547,
15.812,8.027663857,
15.812,8.028539445,
15.812,8.014856681,
15.812,8.032112403,
15.812,8.013356825,
15.812,7.985243459,
15.812,7.973254177,
15.812,7.972652644,
15.812,7.988893795,
15.75,8.002447221,
15.75,7.989782024,
15.75,7.986411179,
15.75,7.991597495,
15.75,7.985964745,
15.75,7.986622466,
15.75,7.974549699,
15.75,7.975788097,
15.75,7.979646101,
15.75,7.990253635,
15.75,7.990946907,
15.75,7.996169354,
15.75,7.99400528,
15.75,7.99494495,
15.75,7.984216458,
15.75,7.986751292,
15.687,7.990838686,
15.687,7.990388748,
15.687,7.991281043,
15.687,7.990658479,
15.687,7.99851659,
15.687,7.998976625,
15.687,7.987550373,
15.687,7.982097352,
15.687,7.984208513,
15.687,7.987027603,
15.687,7.983707383,
15.687,7.986785005,
15.687,7.982017909,
15.687,7.98247566,
15.625,7.990577118,
15.687,7.986315294,
15.687,7.987334542,
15.687,7.999320447,
15.625,7.980605934,
15.625,7.977347775,
15.625,7.962776945,
15.625,7.962383745,
15.625,7.977685472,
15.625,7.970102996,
15.625,7.979434047,
15.625,7.964689493,
15.625,7.97098577,
15.625,7.978810306,
15.625,7.981050195,
15.625,7.974710152,
15.562,7.981211947,
15.625,7.974518344,
15.625,7.980536703,
15.562,7.978843105,
15.562,7.993619153,
15.562,7.982697755,
15.562,7.992883731,
15.562,7.995758558,
15.562,7.986939552,
15.562,7.967536403,
15.562,7.982657612,
15.562,7.982665543,
15.562,7.980990092,
15.562,7.980982082,
